Title;Salary;Company;Location;Date
Ведущий программист в отдел развития информационных систем;;ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар;Алматы;19 ноября
Специалист Управления администрирования ППО;до 150 000 KZT;АО Национальные информационные технологии;Нур-Султан;29 октября
Системный администратор;от 200 000 KZT;ТОО Art - Мебель 01;Алматы;26 ноября
Backend-разработчик (Алматы/Rocket Firm);;ТОО Ракетная фирма;Алматы, Абая;19 ноября
Веб-дизайнер;80 000-250 000 KZT;ИП QLAB;Уральск;16 ноября
Эксперт (Backend разработчик);;АО Банк ЦентрКредит;Алматы;19 ноября
Тренер / Сервис-менеджер по автоматизации ресторана (удалённо);100 000-250 000 KZT;ТОО OPENSERVICE.KZ;Нур-Султан;26 ноября
Преподаватель программирования для детей и подростков (Алгоритмика);100 000-400 000 KZT;ИП Бидамбекова М.Б;Нур-Султан;15 ноября
Web-разработчик;150 000-500 000 KZT;ТОО SmartCall;Алматы;4 ноября
Инженер-программист;до 150 000 KZT;ТОО Поликлиника №5 города Костанай;Костанай;9 ноября
Администратор департамента горного оборудования;;ТОО Борусан Макина Казахстан;Алматы;4 ноября
SMM-менеджер;;ТОО ИнфоТех&Сервис;Алматы;16 ноября
Android разработчик;300 000-400 000 KZT;ТОО Kazdream Technologies;Нур-Султан;24 ноября
Менеджер по работе с клиентской базой (CRM-Битрикс 24 );от 100 000 KZT;ТОО NewTelCom;Тараз;18 ноября
Программист-разработчик;;ТОО Bloomzed.kz;Алматы;5 ноября
Программист Java;;АО Дочерняя организация Народного Банка Казахстана Страховая компания Халык;Алматы;25 ноября
Cпециалист/Тестировщик (Управление сопровождения Сервисных программных продуктов (ССП));;АО Национальные информационные технологии;Нур-Султан;3 ноября
Full Stack Laravel разработчик;;ТОО 4web;Алматы;9 ноября
Helpdesk/специалист отдела поддержки системы;;АО Банк Хоум Кредит, ДБ АО;Алматы;29 октября
Оператор поддержки пользователей в отдел технической разработки;;ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар;Алматы;11 ноября
Java-разработчик;;ТОО Astana-Plat;Алматы;8 ноября
Таргетолог;до 250 000 KZT;ИП Балапаева Н.Т.;Алматы;24 ноября
Монтажник слаботочных систем;;ТОО Ваш Домофон;Экибастуз;26 ноября
Технический специалист/IT (село Косшы, Нур-Султан);; Sulpak;Косшы;10 ноября
Специалист технической поддержки в управление IT разработки Проектного офиса;;ТОО MAGNUM. Проектный офис/Жобалау кеңсесі;Алматы;13 ноября
Установщик бытовой техники, г.Шу;;ТОО Компания ЭВРИКА;Шу;29 октября
Ведущий специалист отдела сервис деск;;АО Дочерняя организация Народного Банка Казахстана Страховая компания Халык;Алматы;9 ноября
Программист 1С;;ТОО 1С-Рейтинг;Усть-Каменогорск;23 ноября
Middle IOS разработчик в (Pillikan);250 000-500 000 KZT;ТОО Smart Idea Group;Шымкент;26 ноября
IOS разработчик мобильного приложения в стартап;до 250 000 KZT;ТОО Aurum Plus;Нур-Султан;31 октября
Монтажник слаботочных систем;;ТОО Управляющая компания Solution;Алматы;25 ноября
Аналитик бизнес-процессов;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;9 ноября
IOS разработчик;;ТОО TargetAI Limited;Нур-Султан;20 ноября
DevOps инженер;; Лига Цифровой Экономики;Алматы;6 ноября
Монтажник СКС;до 180 000 KZT;ТОО X NET;Алматы, Абая;11 ноября
Backend разработчик.;;ТОО InCraft;Нур-Султан;5 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Алматы;10 ноября
Специалист по продажам (В2В);; Beeline, ТМ;Туркестан;18 ноября
Монтажник слаботочных систем;от 150 000 KZT;ТОО Hi-Tec Security Sistems;Караганда;11 ноября
Программист-разработчик MS SQL;; ALSECO, АО;Алматы;29 октября
Менеджер по работе с дилерами (дистрибьютор);150 000-350 000 KZT;ТОО Алси;Алматы;20 ноября
Инженер-программист 1С;240 000-240 000 KZT;ТОО АЭС Шульбинская ГЭС;Усть-Каменогорск;18 ноября
Ведущий инженер сервис центра;; Beeline, ТМ;Алматы;19 ноября
Монтажник слаботочных систем;100 000-200 000 KZT;ТОО R-STYLE.KZ;Алматы, Драмтеатр имени Ауэзова;24 ноября
Менеджер по продажам в ателье по пошиву одежды (удаленно);110 000-250 000 KZT;ТОО Oktrening;Шымкент;9 ноября
Техник (IP-телефония);до 130 000 KZT;ТОО Синтегра;Караганда;24 ноября
Аналитик -разработчик по хранилищу данных;; Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество;Алматы;9 ноября
Маркетолог-аналитик;200 000-250 000 KZT; EurasiaRed, ТМ;Алматы;16 ноября
Devops engineer;300 000-500 000 KZT;ТОО Коркем Телеком;Нур-Султан;25 ноября
Системный администратор;;ТОО Компания ERP;Караганда;30 октября
Бэкенд-разработчик (Нур-Султан/Rocket Firm);;ТОО Ракетная фирма;Нур-Султан;14 ноября
Мастер по ремонту компьютеров и ноутбуков на выезд;от 150 000 KZT;ИП Крылов Ю.Е.;Алматы;12 ноября
Специалист IT (Help Desk);100 000-130 000 KZT;ТОО Logitex;Караганда;25 ноября
Специалист технической поддержки;100 000-150 000 KZT;ТОО Mark Point;Алматы, Абая;13 ноября
Ведущий специалист по информационной безопасности;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;18 ноября
Интернет-маркетолог;от 146 000 KZT;ИП HR Solutions (ТМ Белый Ветер KZ);Караганда;25 ноября
Видеомонтажер/видеооператор (YouTube БЛОГи);до 150 000 KZT;ТОО ManDarin Pictures;Шымкент;6 ноября
Middle QA engineer;300 000-450 000 KZT;ТОО One technologies;Алматы;26 ноября
Установщик бытовой техники;;ТОО Компания ЭВРИКА;Каскелен;25 ноября
Системотехник;от 130 000 KZT;ТОО Common Market Corporation;Караганда;6 ноября
Монтажник слаботочных систем;от 150 000 KZT;ИП Novicamsever;Кокшетау;17 ноября
Представитель по привлечению ключевых клиентов (Key Accounts Sales Executive);; Кселл, АО;Кызылорда;19 ноября
Веб-дизайнер;150 000-350 000 KZT;ТОО IMARKETING;Алматы;25 ноября
Начинающий технический специалист по ремонту и обслуживанию печатной оргтехники (с обучением);от 100 000 KZT;ТОО Uninet Central Asia;Нур-Султан;28 октября
IOS разработчик;от 400 000 KZT;ТОО Arbuz Group (Арбуз Груп);Алматы;11 ноября
Менеджер по проведению вводных уроков (удаленно);;ИП Хамитов И.Ж;Усть-Каменогорск;18 ноября
Разработчик (С#, .net);;ТОО Esepshi.kz;Нур-Султан;23 ноября
DevOps инженер (Middle/Senior);;ТОО УМНЫЕ ГОРОДА;Нур-Султан;24 ноября
Разработчик приложений Flutter;250 000-650 000 KZT;ИП dooverTech;Алматы;25 ноября
DevOps / Системный администратор;от 200 000 KZT;ТОО Апару;Усть-Каменогорск;13 ноября
Трафик-менеджер / PPC-специалист;200 000-300 000 KZT;ИП Q-TRADE;Алматы, Драмтеатр имени Ауэзова;10 ноября
Продуктовый аналитик;;ТОО Букмекерская контора PariMatch.KZ;Алматы;16 ноября
Android/iOS Mobile Front-end Developer (Разработчик мобильных приложений);от 200 000 KZT;ТОО UCO;Алматы;30 октября
Менеджер по продажам ЭЦП;от 150 000 KZT;ТОО Договор24;Алматы;12 ноября
Инженер технической поддержки IP телефонии;150 000-250 000 KZT;ИП Open Group;Алматы;26 ноября
Инженер по информационной безопасности;;ТОО Софтлайн Трэйд;Алматы;3 ноября
Инженер БД SQL;; Кселл, АО;Алматы;3 ноября
Специалист в отдел внедрения информационной системы;70 000-150 000 KZT;ТОО Cushpen Group;Уральск;24 ноября
Unit тестировщик;;ТОО Smart Remont;Нур-Султан;26 ноября
Менеджер управления разбора диспутных ситуаций и мониторинга;;АО First Heartland Jýsan Bank;Алматы;30 октября
Java-разработчик;;ТОО ICORE-Integration;Алматы;24 ноября
Lidar разработчик;до 900 000 KZT;ТОО Коркем Телеком;Нур-Султан;24 ноября
Front-end разработчик/Координатор;;ТОО Osstem Implant;Алматы;18 ноября
Full-stack developer (PHP/ Javascript);;ООО Клика Тек;Алматы;25 ноября
Разработчик мобильных приложений (удаленная работа);300 000-900 000 KZT;ИП Kulenkov Group;Алматы;15 ноября
Программист 1С;;ТОО GLB;Нур-Султан;26 ноября
Менеджер по продажам в г. Жанаозен;; Кселл, АО;Жанаозен;9 ноября
Senior Java Разработчик;500 000-800 000 KZT;ТОО IT SPACE;Алматы;16 ноября
Специалист по бизнес системам (Программист 1С);;ТОО Apple City;Алматы;5 ноября
Business Development Manager (международная компания - производство техники);;ТОО АНКОР Центральная Азия;Нур-Султан;23 ноября
Менеджер по сопровождению клиентов;116 000-300 000 KZT;ТОО Первый БИТ;Нур-Султан;12 ноября
Инженер сети;;ТОО Line System Engineering, ТОО;Павлодар;29 октября
Fullstack разработчик;от 250 000 KZT;ТОО IMARKETING;Алматы;26 ноября
Контент-менеджер;200 000-400 000 KZT;ТОО Exclusive Pro (Эксклюзив Про);Алматы, Сайран;25 ноября
IT Engineer (Hardware);;ТОО Хуавей Текнолоджиз Казахстан;Нур-Султан;25 ноября
Business Analyst;;ТОО Epam Kazakhstan (Эпам Казахстан),ТОО;Алматы;16 ноября
Разработчик PHP BackEnd;;АО Страховая компания Freedom Finance Insurance;Алматы;11 ноября
Инженер-программист (ТОО «КМГ-Кумколь»);; Частное учреждение «Корпоративный университет «Самрук-Казына»;Нур-Султан;12 ноября
Java Developer;;ООО РедСейл;Нур-Султан;23 ноября
Таргетолог;от 150 000 KZT;ТОО Компания ОРДА;Алматы;25 ноября
Менеджер по продажам в ателье по пошиву одежды (удаленно);110 000-250 000 KZT;ТОО Oktrening;Актобе;24 ноября
Инженер-электронщик;;ТОО РСС Астана;Нур-Султан;25 ноября
Представитель онлайн-магазина;; Кселл, АО;Алматы;5 ноября
Ведущий специалист по развитию крупного бизнеса;; Beeline, ТМ;Шымкент;3 ноября
Программист 1С;от 300 000 KZT;ТОО Starget;Алматы;26 ноября
Аналитик;200 000-200 000 KZT;ТОО Витрина Недвижимости;Нур-Султан;26 ноября
Сетевой инженер;;АО TECHNODOM Operator (Технодом Оператор);Алматы;25 ноября
Backend разработчик;200 000-600 000 KZT;ТОО Микрофинансовая организация KMF(КМФ);Алматы, Жибек Жолы;25 ноября
Программист 1С;от 310 000 KZT;ТОО Common Market Corporation;Караганда;28 октября
Android разработчик;от 400 000 KZT;ТОО Arbuz Group (Арбуз Груп);Алматы;11 ноября
SEO-специалист;от 120 000 KZT;ТОО DoroMarine;Алматы;24 ноября
Руководитель группы Spring Boot backend разработки;от 800 000 KZT;ТОО Alpha-Safety;Алматы;5 ноября
Java-разработчик;от 250 000 KZT;ТОО КВАЗАР-КОНСАЛТ (QUASAR-CONSALT);Нур-Султан;2 ноября
Digital Маркетолог / SMM Manager /Product Manager;от 200 000 KZT;ТОО Е-КОММЕРЦ СОЛЮШНС;Алматы;12 ноября
Разработчик BPM (ELMA/ЭЛМА);; Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество;Алматы;18 ноября
Mobile QA Engineer (Middle/Senior);;ТОО Prime Source;Алматы, Абая;4 ноября
Flutter разработчик;;ТОО Thousand IT Company;Алматы;1 ноября
Senior/Middle Front end developer (React) remote;;ТОО DAR INTELI;Алматы;10 ноября
Программист 1С;; Mon Amie, Сеть парфюмерно-косметических магазинов;Алматы;17 ноября
Backend разработчик;;ТОО Astana-Plat;Алматы;15 ноября
Менеджер по продажам телекоммуникационного оборудования;120 000-350 000 KZT;ТОО Алси;Алматы;20 ноября
Android разработчик (Junior/Middle);;ТОО WOOPPAY;Караганда;10 ноября
Менеджер по работе с заказчиками;150 000-200 000 KZT;ТОО Гарденмарт;Уральск;18 ноября
Сервисный инженер;от 200 000 KZT;ТОО RIMAKS(РИМАКС);Нур-Султан;24 ноября
PHP Backend Developer Yii2;150 000-600 000 KZT;ТОО Бугор.қаз;Алматы;13 ноября
Электромонтажник;;ТОО Цунами-Атырау;Атырау;13 ноября
Разработчик PL/SQL;; Евразийский банк, АО;Алматы;16 ноября
Руководитель направления продаж мобильных продуктов;; Beeline, ТМ;Шымкент;13 ноября
Data miner;; Beeline, ТМ;Алматы;2 ноября
Менеджер отдела технической поддержки;;ТОО Центр цифровой трансформации;Нур-Султан;18 ноября
Sales assistant (Korean);; Arait Multimedia;Алматы;16 ноября
Монтажник слаботочных систем;110 000-200 000 KZT;ТОО Ваш Домофон;Алматы;25 ноября
Программист-разработчик (PHP);;ТОО Bloomzed.kz;Алматы;5 ноября
Техник-монтажник;120 000-150 000 KZT; СОП КУЗЕТ, АО;Алматы;26 ноября
Front-end разработчик в департамент технической поддержки;;ТОО IBEC Systems;Алматы;25 ноября
WEB-разработчик (frontend);200 000-200 000 KZT;ТОО Мой бухгалтер inc;Алматы, Сайран;26 ноября
Senior/Team Lead NodeJS/React (Удаленно);150 000-200 000 руб.;ООО ИнтеллектДиалог;Нур-Султан;25 ноября
Специалист по внедрению торгового оборудования, установке и сопровождению 1C, IIKO, R-Keeper.;от 180 000 KZT;ТОО DVR Group;Алматы;18 ноября
Программист Java;200 000-500 000 KZT;ТОО Людмила-KZ TM Аян;Караганда;28 октября
Back-end Java разработчик (Middle уровень);;АО TECHNODOM Operator (Технодом Оператор);Алматы;25 ноября
DevOps Engineer;;ТОО Kazdream Technologies;Нур-Султан;9 ноября
Интернет-маркетолог;от 50 000 KZT;ТОО Global Construction RK;Алматы;5 ноября
Joomla Junior Specialist;; Кселл, АО;Алматы;17 ноября
Интернет-маркетолог;от 180 000 KZT;ТОО STEPLine;Алматы, Москва;25 ноября
Аналитик;от 150 000 KZT;ТОО К1М;Алматы;11 ноября
Главный специалист по исследованию онлайн продуктов;;АО TECHNODOM Operator (Технодом Оператор);Алматы, Алатау;13 ноября
Web-разработчик (PHP) удаленная работа;;ТОО WELLDONE company;Алматы;25 ноября
Мастер по ремонту сотовых телефонов/ Инженер по ремонту Apple;200 000-350 000 KZT;ИП Теплодом (StroyMax, TM);Алматы, Райымбек батыра;19 ноября
Менеджер по контекстной рекламе;80 000-200 000 KZT;ТОО Smart Digital Consulting;Алматы;24 ноября
Контент-менеджер;;ТОО Компания ЭВРИКА;Шымкент;2 ноября
Инженер поддержки администрирования биллинговых систем;; Кселл, АО;Алматы;19 ноября
Менеджер проекта/Администратор проекта;;ООО Конструктор;Алматы;28 октября
Младший 1 С программист;;ТОО Alem Agro Holding (АлемАгро Холдинг);Алматы;5 ноября
Android-разработчик;200 000-350 000 KZT;ТОО Smart Remont;Нур-Султан;19 ноября
Аналитик технического сопровождения;; Kaspi Bank, АО;Алматы;29 октября
Техник 1 категории;от 136 000 KZT;ТОО ВОЛСПроект Строй;Караганда;29 октября
Менеджер по продажам;от 150 000 KZT;ТОО T42 Management Kazakhstan (Т42 Менеджмент Казахстан);Алматы;26 ноября
Интернет-маркетолог;;ИП Coffee Service;Алматы;24 ноября
Системный администратор;от 155 000 KZT;ТОО XFinity Solutions;Алматы, Абая;25 ноября
Веб-программист;;ИП PROFit;Петропавловск;9 ноября
FICO Разработчик (Senior/Middle);;ТОО Prime Source;Алматы, Абая;28 октября
Инженер систем информационной безопасности;;ТОО Alexis Company;Алматы;25 ноября
Представитель по работе с клиентами в Kcell Center;; Кселл, АО;Талдыкорган;6 ноября
Менеджер по работе с вендорами;200 000-300 000 KZT;ТОО Logitex;Нур-Султан;23 ноября
Сервисный инженер;от 200 000 KZT;ТОО RIMAKS(РИМАКС);Алматы;24 ноября
Специалист 1 категории Управления развития контакт центра;; Жилищный строительный сберегательный Банк Казахстана, АО;Алматы;3 ноября
Инженер-администратор Департамента анализа больших данных;200 000-400 000 KZT;АО Национальные информационные технологии;Нур-Султан;17 ноября
Разработчик фронтэнда;200 000-400 000 KZT;ТОО ZigZag Group;Караганда;30 октября
Аналитик;до 80 000 KZT;ТОО Алтын Алма;Семей;29 октября
Инженер-программист 1С;240 000-240 000 KZT;ТОО АЭС Шульбинская ГЭС;Семей;3 ноября
Business Analyst, IT Services;;ТОО KPMG;Алматы;10 ноября
Интернет-маркетолог;250 000-350 000 KZT;ИП Центр Развития Предпринимателей;Нур-Султан;25 ноября
Главный специалист Отдела бизнес-анализа ( IT направление);; Евразийский банк, АО;Алматы;20 ноября
Frontend-разработчик (Angular);;ТОО InnovaTech;Алматы;16 ноября
"Специалист по информационной безопасности (ТОО ""KPI Inc."")";; Частное учреждение «Корпоративный университет «Самрук-Казына»;Атырау;10 ноября
Cистемный аналитик / Technical Product Manager;; Кселл, АО;Алматы;9 ноября
Инженер-системотехник;;ТОО Аманат;Усть-Каменогорск;24 ноября
Разработчик Full Stack;;АО Страховая компания Freedom Finance Insurance;Алматы;11 ноября
Senior/Middle Frontend Developer;;ТОО УМНЫЕ ГОРОДА;Нур-Султан;26 ноября
QA Engineer;200 000-500 000 KZT;ТОО Arbuz Group (Арбуз Груп);Алматы;9 ноября
JAVA (Fullstack/Frontend) разработчик;; Beeline, ТМ;Алматы;10 ноября
Digital-маркетолог;; Beeline, ТМ;Алматы;13 ноября
Team Lead (Руководитель backend на PHP);180 000-300 000 KZT;ТОО avex agency;Нур-Султан;20 ноября
Аналитик отдела продаж;170 000-170 000 KZT;ТОО Dizzy;Нур-Султан;17 ноября
Инженер ЭПУ и СК;от 164 000 KZT;АО Транстелеком;Жезказган;25 ноября
Главный специалист (по бюджетам);;ТОО KAZ Minerals Management;Алматы;3 ноября
Back-end / full-stack разработчик;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;10 ноября
IT-специалист;80 000-160 000 KZT;ТОО Ристарт Технологии;Алматы;24 ноября
Инженер технической поддержки продаж;;ТОО VENDER;Алматы;17 ноября
Системный администратор;;ТОО WOOPPAY;Караганда;5 ноября
Разработчик на платформе Unreal Engine 4;;ТОО Tengri Lab;Нур-Султан;18 ноября
Back-end разработчик (PHP);;АО TECHNODOM Operator (Технодом Оператор);Алматы;25 ноября
ИТ-архитектор;от 200 000 KZT;ТОО Микрофинансовая организация Взаймы;Алматы;29 октября
Программист 1С;100 000-300 000 KZT;ТОО Avangard Business Solutions;Алматы;29 октября
Менеджер по продажам;150 000-400 000 KZT;ТОО Первый БИТ;Алматы, Алатау;16 ноября
Сетевой инженер, Департамент ИТ инфраструктуры;;АО Народный банк Казахстана;Алматы;18 ноября
Инженер по сопровождению информационных систем;от 120 000 KZT;ТОО Integro Company;Атырау;6 ноября
Администратор баз данных (1С-торговля);;ТОО Sheber Profi;Актобе;13 ноября
Специалист по техническому оборудованию;; Small, ТМ (Скиф Сауда, ТОО);Нур-Султан;16 ноября
Администратор корпоративных информационных систем;;ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL);Алматы;17 ноября
Business Development Manager / Sales Manager;; LeverX International;Нур-Султан;13 ноября
Инженер технической поддержки;80 000-150 000 KZT;ИП Open Group;Алматы;25 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Алматы;29 октября
UX/UI дизайнер;;ТОО Моторная компания «Астана-Моторс;Алматы;26 ноября
Менеджер по продажам;120 000-350 000 KZT;ТОО Ад Астра Онлайн;Алматы;5 ноября
Программист 1С;;ТОО Идеал Трейд;Алматы, Жибек Жолы и еще 1 ;28 октября
Разработчик программного обеспечения .Net;;ТОО Esepshi.kz;Нур-Султан;12 ноября
Инженер-программист;; Усть-Каменогорские тепловые сети, АО;Усть-Каменогорск;4 ноября
1С разработчик;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;10 ноября
Технический писатель;; Евразийский банк, АО;Алматы;2 ноября
Frontend-разработчик;;ТОО ICORE-Integration;Алматы;25 ноября
Инженер ЭПУ;;АО Казахтелеком;Алматы;20 ноября
Fullstack-разработчик;;ТОО Smart Remont;Нур-Султан;26 ноября
Back-end разработчик;70 000-250 000 руб.;ИП ITQ;Алматы, Жибек Жолы;13 ноября
Автомейшн тест инженер;; Beeline, ТМ;Алматы;29 октября
Специалист по информационным технологиям и WMC системам, г. Нур-Султан;;АО TECHNODOM Operator (Технодом Оператор);Нур-Султан;17 ноября
Разработчик программного обеспечения;;АО Казахтелеком;Нур-Султан;25 ноября
Эксперт Направления Data Scientist;до 290 000 KZT;АО ForteBank;Нур-Султан;9 ноября
IOS-разработчик;350 000-1 000 000 KZT; Kolesa Group;Алматы;6 ноября
Менеджер по продажам;70 000-350 000 KZT;ТОО ИнфоТех&Сервис;Семей;3 ноября
Консультант SAP MM / SD на проект внедрения;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;16 ноября
.NET Core Разработчик;;АО ДБ Альфа-Банк;Алматы;6 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Семей;2 ноября
Разработчик;;ТОО New Technologies Integrator (Нью Технолоджис Интегрейтор);Алматы;4 ноября
Администратор баз данных, Управление администрирования баз данных;;АО Народный банк Казахстана;Алматы;18 ноября
Менеджер по продажам в IT компанию;150 000-900 000 KZT;ТОО Vista Systems;Алматы;25 ноября
Менеджер по продажам IT-оборудования и систем безопасности;;ТОО Алси;Алматы;3 ноября
Service Desk Specialist;;ТОО KPMG;Алматы;29 октября
Cпециалист Управления администрирования СУБД;до 120 000 KZT;АО Национальные информационные технологии;Нур-Султан;4 ноября
Специалист отдела анализа рынка;240 000-240 000 KZT;ТОО Эфко Алматы;Алматы;30 октября
Ведущий разработчик отдела разработки программного обеспечения;от 286 000 KZT; Назарбаев интеллектуальные школы, Автономная организация образования;Нур-Султан;20 ноября
Оператор по работе с клиентами;от 100 000 KZT;ТОО Людмила-KZ TM Аян;Караганда;13 ноября
Специалист по продажам ИТ продуктов;; Beeline, ТМ;Алматы;2 ноября
Программист 1С;от 200 000 KZT;ТОО Первый БИТ;Алматы, Алатау;26 ноября
Mobile iOS разработчик (Strong middle);;ТОО Prime Source;Алматы, Абая;28 октября
PHP-программист;250 000-1 000 000 KZT; Kolesa Group;Алматы;16 ноября
Программист React удаленно;; GranSoft;Алматы;11 ноября
Программист Delphi;;АО Logycom;Алматы, Райымбек батыра;18 ноября
Старший специалист по продажам;; Beeline, ТМ;Костанай;2 ноября
Senior/Middle Front-end developer (Web разработчик - Vue.js / React);;ТОО ROQED;Нур-Султан;13 ноября
Full-stack разработчик;; ALSECO, АО;Алматы, Драмтеатр имени Ауэзова;14 ноября
Backend-разработчик scala, C#;350 000-400 000 KZT;ТОО C&T Technology;Алматы;11 ноября
Сервис-инженер;90 000-200 000 KZT;ТОО 1С-Рейтинг;Усть-Каменогорск;12 ноября
Кабельщик-спайщик;;АО Казахтелеком;Алматы;10 ноября
Менеджер по продажам;100 000-400 000 KZT;ИП NeXT;Шымкент;9 ноября
Java Backend Developer;; Кселл, АО;Алматы;17 ноября
Android-разработчик;200 000-600 000 KZT;ТОО Микрофинансовая организация KMF(КМФ);Алматы, Жибек Жолы;23 ноября
Программист центра корпоративных проектов;;ТОО 1С-Рейтинг;Усть-Каменогорск;3 ноября
Full-stack разработчик;; ALSECO, АО;Нур-Султан;16 ноября
Представитель по удержанию ключевых клиентов (Key Accounts Sales Executive);; Кселл, АО;Нур-Султан;6 ноября
Техник;от 120 000 KZT;ТОО ВОЛСПроект Строй;Усть-Каменогорск;20 ноября
Android разработчик;416-1 041 USD; Компания maxim;Петропавловск;23 ноября
Технический специалист;;ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан);Нур-Султан;2 ноября
Веб-разботчик Full Stack (PHP Laravel / Vue.js);;ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP);Алматы;11 ноября
Разработчик C#;; Евразийский банк, АО;Алматы;10 ноября
Менеджер по продажам;150 000-300 000 KZT;ТОО Dostyk Telecom;Алматы;30 октября
Инженер 3 категории Группы Поддержки Сервисов в г.Нур-Султан;; Kaspi Bank, АО;Нур-Султан;4 ноября
Руководитель направления мониторинга систем сервисов;;АО АТФБанк;Алматы;2 ноября
Старший менеджер, управление серверных платформ;;АО Народный банк Казахстана;Алматы;19 ноября
SAP Forecasting and Replenishment Consultant;; LeverX International;Нур-Султан;25 ноября
Python developer, Департамент вспомогательных систем;;АО Народный банк Казахстана;Алматы;2 ноября
Менеджер по развитию регионов;;ТОО Flip.kz;Караганда;19 ноября
IOS-разработчик / IOS developer;;ТОО Quantum Technologies (PayBox.money);Алматы;24 ноября
Android -разработчик;350 000-1 000 000 KZT; Kolesa Group;Алматы;2 ноября
Менеджер проектов в городе Нур-Султан;;ТОО Ракетная фирма;Нур-Султан;16 ноября
Специалист по IT;;ТОО Logitex;Тараз;25 ноября
IOS разработчик;;ТОО Khan Group;Алматы, Алмалы;26 ноября
Middle менеджер IT-проектов;;ТОО IBEC Systems;Алматы;24 ноября
IT-инженер;;ТОО РК МАКАО;Капчагай;26 ноября
SEO-специалист;от 150 000 KZT;ТОО Казахстанский завод современных технологий (КЗСТ);Нур-Султан;10 ноября
FICO разработчик;;ТОО Intercomp (ТМ SberSolutions);Алматы;3 ноября
Интернет-маркетолог;;ТОО Prodmark;Семей;16 ноября
Менеджер по продажам услуг;;ТОО Lux-telekom;Алматы;5 ноября
Инженер по информационным технологиям;от 164 000 KZT;АО Транстелеком;Усть-Каменогорск;11 ноября
Back-end разработчик;;ТОО LEOPART CENTER;Алматы;9 ноября
Главный инженер Отдела информационной поддержки бизнеса;;АО Банк ЦентрКредит;Алматы;6 ноября
Golang Разработчик;;АО ДБ Альфа-Банк;Алматы;23 ноября
TeamLead;;ТОО Smart Remont;Нур-Султан;26 ноября
Помощник системного администратора;80 000-80 000 KZT;ТОО 2030 Отан;Костанай;10 ноября
Администратор (Базы Данных);;АО Народный банк Казахстана;Алматы;2 ноября
Web-разработчик;150 000-250 000 KZT;ТОО АвтоАдвокат;Алматы;25 ноября
Senior/Middle iOS Developer;;ТОО Av-software;Алматы;17 ноября
Сетевой инженер;200 000-200 000 KZT;ТОО Adicom2000;Нур-Султан;16 ноября
Вакансия Middle Laravel разработчика;300 000-700 000 KZT;ТОО Nomad Standard Consulting;Алматы;24 ноября
Инженер по охране разъяснительной работе;164 000-164 000 KZT;АО Транстелеком;Кульсары;29 октября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Петропавловск;31 октября
Бренд-менеджер по IT-продуктам;;ТОО Алси;Алматы;20 ноября
Специалист сектора исходящего телемаркетинга и продаж;; Кселл, АО;Алматы;3 ноября
Технический специалист;120 000-150 000 KZT;ТОО Штрих-Маркет Казахстан;Нур-Султан;15 ноября
Project Manager;;ТОО Brand Studio;Алматы;25 ноября
Программист Террасофт Creatio;от 50 000 руб.;ООО СКАУТ;Нур-Султан;21 ноября
C# разработчик;до 300 000 KZT;ТОО Kazdream Technologies;Нур-Султан;26 ноября
Middle IOS разработчик в (Pillikan);250 000-500 000 KZT;ТОО Smart Idea Group;Алматы;2 ноября
Менеджер по ключевым клиентам направления - Онлайн касса;;ТОО Astana-Plat;Алматы;15 ноября
Программист 1С;от 200 000 KZT;ТОО Алси;Алматы;14 ноября
Специалист по продажам (B2B);; Beeline, ТМ;Нур-Султан;20 ноября
IT Engineer;;ТОО Хуавей Текнолоджиз Казахстан;Алматы;25 ноября
Back-End разработчик Группы Халык;;АО Народный банк Казахстана;Алматы;11 ноября
Веб разработчик;100 000-300 000 KZT;ТОО БАСТАУ ИННОВАЦИЯ;Алматы, Байконур;3 ноября
Технический специалист (IT);100 000-200 000 KZT; Sulpak;Алтай (Зыряновск);4 ноября
Оператор станка с ЧПУ;150 000-180 000 KZT;ТОО INTERMODULE;Нур-Султан;26 ноября
Интернет-маркетолог;120 000-300 000 KZT;ТОО OFFICESTAN;Алматы;2 ноября
Devops Engineer;;ТОО Kazdream Technologies;Алматы;17 ноября
Техник-монтажник;;ТОО РадиоБайланыс;Шымкент;24 ноября
Программист-разработчик;от 300 000 KZT;ТОО AltF4;Нур-Султан;25 ноября
