Title;Salary;Company;Location;Date
PowerApps Developer;;ТОО АтырауТехИнвест;Алматы;17 ноября
Директор по ОФД (Оператор фискальных данных);; Beeline, ТМ;Алматы;5 ноября
Менеджер по техническим решениям Presale Datacom IP (в Москву);; ZTE Corporation;Нур-Султан;24 ноября
Старший менеджер по развитию абонентской базы (CVM);;ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL);Алматы;17 ноября
Руководитель направления разработки (C#);; Евразийский банк, АО;Алматы;20 ноября
Сервисный инженер;от 150 000 KZT;ТОО Ruba Technology;Алматы;25 ноября
Специалист по CRM-системам;;ТОО Корпорация управления бизнесом (КУБ);Алматы;10 ноября
Специалист службы безопасности;;ТОО Теха Group;Караганда;12 ноября
Сетевой инженер;200 000-800 000 KZT;ИП Алпысбаев К.К.;Алматы;29 октября
Инженер-программист;от 400 000 KZT;ТОО Цифровизация;Алматы;17 ноября
Руководитель проектов;от 250 000 KZT;ТОО Фишт Моторс;Алматы;17 ноября
Водитель;100 000-100 000 KZT;ТОО Asia Baylanys Service;Алматы, Байконур;23 ноября
Devops, Back End, Front End, Fullstack, web разработчик;до 500 000 KZT;ТОО КМГ Инжиниринг;Нур-Султан;16 ноября
Инженер ПТО;от 200 000 KZT;ТОО Астрон Групп;Нур-Султан;21 ноября
Главный инженер проекта по инженерным сетям;300 000-500 000 KZT;ТОО Управляющая компания СИСТЕМА;Караганда;2 ноября
Business Development Manager;;ТОО OrientSwiss;Алматы;20 ноября
Менеджер проекта;от 300 000 KZT;ТОО SignImpress;Нур-Султан;11 ноября
Project Manager;;ТОО Centrasia Heavy Industries;Атырау;18 ноября
Senior Java разработчик;;ТОО Alem Research;Алматы;28 октября
